name,email,birthdate,phone,address,credit_card
John E Leonetti,user1@mail.com,19951226,"(+01) 123 456 78 90	427",Maryam Tunnel,378282246310005
Arnold M-Austin,user2@mail.com,1995-12-26,"(+01) 123-456-7890	604",Breitenberg Village,371449635398431
Correo Duplicado Prueba,user1@mail.com,19951227,(+01) 123 456 78 91,620 Leonardo Cove,378734493671000
Pedro Perez Cano,user4@mail.com,1995-12-27,(+01) 123-456-78-91,81429 Cindy Spurs,5610591081018250
Nombre de Usuario,user5@mail.com,19951228,(+01) 123 456 78 92,697 Gutmann Ranch,30569309025904
Prueba Numero Siete,user6@mail.com,1995-12-28,(+01) 123-456-78-92,3165 Cormier Glen,38520000023237
Prueba Numero Ocho,user7@mail.com,19951229,11234567893,6860 Riley Greens,6011111111111117
Prueba Numero Nueve,user8@mail.com,1995-12-29,(+01) 123-456-78-93,869 Eugene Inlet,6011000990139424
Prueba Numero Diez,user9@mail.com,19951230,(+01) 123 456 78 94,205 Becker Junctions,3530111333300000
Prueba Numero Once,user10@mail.com,1995-12-30,(+01) 123-456-78-94,1452 Dorian Tunnel,3566002020360505
Prueba Numero Doce,user11@mail.com,19951231,(+01) 123 456 78 95,567 Hegmann River,5555555555554444
Prueba Numero Trece,user12@mail.com,1995-12-31,(+01) 123-456-78-95,36565 Christiansen Crossroad,5105105105105100
Prueba Numero Catorce,user13@mail.com,19951232,(+01) 123 456 78 96,,4111111111111111
Prueba Numero Quince,bad_maila@com,1995-12-32,(+01) 123-456-78-96,70092 Schuppe Wells,4012888888881881
